recording_id,scientific_name,status,issue_count,issue_no_species,issue_no_english_name,issue_no_audio_file,issue_no_duration,issue_no_date,issue_no_time,issue_no_country,issue_no_latitude,issue_no_longitude,issue_no_coordinates,issue_no_quality,issue_scrape_failed
XC217847,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217851,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217853,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217854,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217857,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217858,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217911,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217912,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217913,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217924,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217930,Pheucticus melanocephalus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217932,Pheucticus melanocephalus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217940,Pheucticus melanocephalus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217942,Pheucticus melanocephalus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217955,Setophaga fusca,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217970,Amphispiza bilineata,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217976,Setophaga caerulescens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217977,Setophaga caerulescens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217978,Setophaga caerulescens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217979,Setophaga caerulescens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217980,Setophaga caerulescens,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217981,Passerina caerulea,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217982,Passerina caerulea,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC217983,Passerina caerulea,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC218671,Scolopax minor,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC219352,Psaltriparus minimus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC225350,Thryomanes bewickii,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC232494,Artemisiospiza belli,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC232497,Artemisiospiza belli,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC232504,Artemisiospiza belli,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC232506,Artemisiospiza belli,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC232898,Calidris bairdii,success,4,False,False,False,True,False,True,True,False,False,False,True,False
XC233132,Pheucticus melanocephalus,success,3,False,False,False,True,False,False,True,False,False,False,True,False
XC233158,Botaurus lentiginosus,success,4,False,False,False,True,False,True,True,False,False,False,True,False
