chunk_filename,rms,peak,quality
XC109666_chunk_011.wav,0.012899,0.1968,good
XC109666_chunk_012.wav,0.01235,0.267,good
XC109666_chunk_013.wav,0.06007,0.95,good
XC109666_chunk_014.wav,0.05998,0.95,good
XC109666_chunk_015.wav,0.021746,0.7899,good
XC109666_chunk_016.wav,0.035046,0.6589,good
XC109666_chunk_017.wav,0.028975,0.6589,good
XC109668_chunk_001.wav,0.128523,0.95,good
XC109668_chunk_002.wav,0.12853,0.95,good
XC109668_chunk_003.wav,0.103249,0.8863,good
XC109668_chunk_004.wav,0.070036,0.7387,good
XC109768_chunk_001.wav,0.190124,0.95,good
XC109768_chunk_002.wav,0.141299,0.7787,good
XC109768_chunk_003.wav,0.082901,0.538,good
XC109852_chunk_001.wav,0.046122,0.5981,good
XC109852_chunk_002.wav,0.041483,0.5981,good
XC109852_chunk_003.wav,0.031871,0.307,good
XC109852_chunk_004.wav,0.03673,0.5779,good
XC109852_chunk_005.wav,0.036411,0.5779,good
XC109852_chunk_006.wav,0.046392,0.8351,good
XC109852_chunk_007.wav,0.041886,0.8351,good
XC109852_chunk_008.wav,0.049821,0.7441,good
XC109852_chunk_009.wav,0.074879,0.7441,good
XC109852_chunk_010.wav,0.057858,0.6592,good
XC109852_chunk_011.wav,0.017977,0.1486,good
XC109852_chunk_012.wav,0.016987,0.1486,good
XC109852_chunk_013.wav,0.014618,0.111,good
XC109852_chunk_014.wav,0.0153,0.1426,good
XC109852_chunk_015.wav,0.01546,0.1426,good
XC109852_chunk_016.wav,0.013201,0.1033,good
XC109852_chunk_017.wav,0.011567,0.0795,good
XC109852_chunk_018.wav,0.011974,0.0795,good
XC109852_chunk_019.wav,0.061515,0.7374,good
XC109852_chunk_020.wav,0.063254,0.7374,good
XC109852_chunk_021.wav,0.03111,0.505,good
XC109852_chunk_022.wav,0.051564,0.6779,good
XC109852_chunk_023.wav,0.065924,0.95,good
XC109852_chunk_024.wav,0.056406,0.95,good
XC109852_chunk_025.wav,0.04567,0.5775,good
XC109852_chunk_026.wav,0.060262,0.5987,good
XC109852_chunk_027.wav,0.061411,0.5987,good
XC109852_chunk_028.wav,0.063534,0.9297,good
XC109852_chunk_029.wav,0.057841,0.9297,good
XC109920_chunk_001.wav,0.037214,0.5526,good
XC109920_chunk_002.wav,0.040503,0.6479,good
XC109920_chunk_003.wav,0.041369,0.6479,good
XC109920_chunk_004.wav,0.039644,0.5849,good
XC109920_chunk_005.wav,0.038348,0.5763,good
XC109920_chunk_006.wav,0.034473,0.6024,good
XC109920_chunk_007.wav,0.041495,0.6254,good
XC109920_chunk_008.wav,0.042365,0.6254,good
XC109920_chunk_009.wav,0.043676,0.6027,good
XC109920_chunk_010.wav,0.044846,0.6027,good
XC109920_chunk_011.wav,0.04655,0.7634,good
XC109920_chunk_012.wav,0.041824,0.7634,good
XC109920_chunk_013.wav,0.031991,0.4986,good
XC109920_chunk_014.wav,0.055412,0.9247,good
XC109920_chunk_015.wav,0.062607,0.9247,good
XC109920_chunk_016.wav,0.066826,0.95,good
XC109920_chunk_017.wav,0.071597,0.95,good
XC109920_chunk_018.wav,0.072885,0.8225,good
XC109920_chunk_019.wav,0.062809,0.8225,good
XC109920_chunk_020.wav,0.049458,0.7721,good
XC109920_chunk_021.wav,0.050169,0.7721,good
XC109920_chunk_022.wav,0.057027,0.8068,good
XC109920_chunk_023.wav,0.061114,0.8068,good
XC109920_chunk_024.wav,0.045593,0.6927,good
XC109920_chunk_025.wav,0.053192,0.7397,good
XC109920_chunk_026.wav,0.057544,0.7397,good
XC109920_chunk_027.wav,0.055321,0.7679,good
XC109920_chunk_028.wav,0.062828,0.7704,good
XC109920_chunk_029.wav,0.063112,0.7704,good
XC109920_chunk_030.wav,0.054533,0.7179,good
XC109920_chunk_031.wav,0.066486,0.8321,good
XC109920_chunk_032.wav,0.070346,0.8321,good
XC109920_chunk_033.wav,0.050769,0.8117,good
XC109920_chunk_034.wav,0.049158,0.605,good
XC109920_chunk_035.wav,0.044912,0.605,good
XC109921_chunk_001.wav,0.059121,0.95,good
XC109921_chunk_002.wav,0.015422,0.2251,good
XC109921_chunk_003.wav,0.023737,0.3146,good
XC109921_chunk_004.wav,0.022165,0.3146,good
XC109922_chunk_001.wav,0.169467,0.95,good
XC109923_chunk_001.wav,0.14696,0.95,good
XC109923_chunk_002.wav,0.154517,0.95,good
XC109923_chunk_003.wav,0.114963,0.7607,good
XC109923_chunk_004.wav,0.078135,0.5883,good
XC109923_chunk_005.wav,0.058913,0.5883,good
XC109923_chunk_006.wav,0.031948,0.5321,good
XC109923_chunk_007.wav,0.022662,0.327,good
XC109946_chunk_001.wav,0.062891,0.3513,good
XC109946_chunk_002.wav,0.054342,0.456,good
XC109946_chunk_003.wav,0.067936,0.4853,good
XC109946_chunk_004.wav,0.059403,0.4853,good
XC109946_chunk_005.wav,0.040098,0.2774,good
XC109946_chunk_006.wav,0.072293,0.5323,good
XC109946_chunk_007.wav,0.084436,0.5553,good
XC109946_chunk_008.wav,0.064125,0.5553,good
XC109946_chunk_009.wav,0.055851,0.4692,good
XC109946_chunk_010.wav,0.066908,0.4692,good
XC109946_chunk_011.wav,0.071729,0.3993,good
XC109946_chunk_012.wav,0.070689,0.4387,good
XC109946_chunk_013.wav,0.067289,0.4387,good
XC109946_chunk_014.wav,0.081762,0.458,good
XC109946_chunk_015.wav,0.104194,0.7202,good
XC109946_chunk_016.wav,0.154937,0.8335,good
XC109946_chunk_017.wav,0.188726,0.8335,good
XC109946_chunk_018.wav,0.185253,0.7611,good
XC109946_chunk_019.wav,0.184144,0.8584,good
XC109946_chunk_020.wav,0.185653,0.8584,good
XC109946_chunk_021.wav,0.18303,0.8351,good
XC109946_chunk_022.wav,0.18634,0.95,good
XC109946_chunk_023.wav,0.191695,0.95,good
XC109946_chunk_024.wav,0.192184,0.7735,good
XC109946_chunk_025.wav,0.147189,0.7735,good
XC109947_chunk_001.wav,0.145952,0.95,good
XC109947_chunk_002.wav,0.087857,0.6378,good
XC109948_chunk_001.wav,0.025278,0.4491,good
XC109948_chunk_002.wav,0.007425,0.0908,good
XC109948_chunk_003.wav,0.006065,0.0684,good
XC109948_chunk_004.wav,0.015428,0.4777,good
XC109948_chunk_005.wav,0.024633,0.5339,good
XC109948_chunk_006.wav,0.030611,0.7734,good
XC109948_chunk_007.wav,0.028287,0.7734,good
XC109948_chunk_008.wav,0.018885,0.6002,good
XC109948_chunk_009.wav,0.027544,0.6999,good
XC109948_chunk_010.wav,0.049417,0.7253,good
XC109948_chunk_011.wav,0.053566,0.7253,good
XC109948_chunk_012.wav,0.033594,0.5911,good
XC109948_chunk_013.wav,0.027108,0.95,good
XC109948_chunk_014.wav,0.026191,0.95,good
XC109948_chunk_015.wav,0.001987,0.0306,low_energy
XC109949_chunk_001.wav,0.019801,0.8626,good
XC109949_chunk_002.wav,0.030666,0.8626,good
XC109949_chunk_003.wav,0.029133,0.6881,good
XC109949_chunk_004.wav,0.022632,0.6071,good
XC109949_chunk_005.wav,0.035042,0.95,good
XC109949_chunk_006.wav,0.034898,0.95,good
XC109949_chunk_007.wav,0.018603,0.6913,good
XC109949_chunk_008.wav,0.008456,0.1311,good
XC109949_chunk_009.wav,0.000446,0.0075,silent
XC109949_chunk_010.wav,0.000215,0.0022,silent
XC109949_chunk_011.wav,0.0002,0.0053,silent
XC109949_chunk_012.wav,0.00031,0.0078,silent
XC109949_chunk_013.wav,0.000549,0.0184,silent
XC109949_chunk_014.wav,0.000719,0.0184,silent
XC109949_chunk_015.wav,0.000561,0.0098,silent
XC109949_chunk_016.wav,0.000624,0.0135,silent
XC109949_chunk_017.wav,0.001161,0.0292,low_energy
XC109949_chunk_018.wav,0.001991,0.0786,low_energy
XC109949_chunk_019.wav,0.003306,0.0911,low_energy
XC109949_chunk_020.wav,0.002842,0.0911,low_energy
XC109949_chunk_021.wav,0.000396,0.0608,silent
XC109949_chunk_022.wav,0.000731,0.0173,silent
XC109949_chunk_023.wav,0.000747,0.0249,silent
XC109949_chunk_024.wav,0.00407,0.1422,low_energy
XC109949_chunk_025.wav,0.004075,0.1422,low_energy
XC109949_chunk_026.wav,0.000376,0.0465,silent
XC109949_chunk_027.wav,0.005772,0.2765,good
XC109949_chunk_028.wav,0.013328,0.4231,good
XC109949_chunk_029.wav,0.018161,0.4231,good
XC109949_chunk_030.wav,0.023707,0.7222,good
XC109949_chunk_031.wav,0.019406,0.7222,good
XC109949_chunk_032.wav,0.007719,0.2627,good
